entry_sd,replicate,outer_seed,bootstrap_seed,method,estimate,estimated_se,covered,reject_half,converged,error
4,754,710004754,810008754,naive,0.523881004048891,0.0322652919533568,0,0,1,""
4,754,710004754,910008754,strict,0.521535384033099,0.0371045164212403,0,0,1,""
4,755,710004755,810008755,naive,0.598631670653076,0.0348585180827286,1,1,1,""
4,755,710004755,910008755,strict,0.59745557943541,0.0370408718278248,1,1,1,""
4,756,710004756,810008756,naive,0.649531559912968,0.0320627628607332,1,1,1,""
4,756,710004756,910008756,strict,0.64980451178967,0.0323978555933679,1,1,1,""
4,757,710004757,810008757,naive,0.644139885056431,0.0348034739575861,1,1,1,""
4,757,710004757,910008757,strict,0.631988681923568,0.0296830755635417,1,1,1,""
4,758,710004758,810008758,naive,0.647903311360679,0.03915109142331,1,1,1,""
4,758,710004758,910008758,strict,0.642368132010427,0.0353102332376777,1,1,1,""
4,759,710004759,810008759,naive,0.633164134120483,0.034513962049672,1,1,1,""
4,759,710004759,910008759,strict,0.637089019264829,0.0336615126058896,1,1,1,""
4,760,710004760,810008760,naive,0.632758627950499,0.0290169601061568,1,1,1,""
4,760,710004760,910008760,strict,0.632185505372214,0.026046041780941,1,1,1,""
4,761,710004761,810008761,naive,0.632908206007512,0.0333362252422389,1,1,1,""
4,761,710004761,910008761,strict,0.630391046314065,0.0291081611284293,1,1,1,""
4,762,710004762,810008762,naive,0.559243617250302,0.034297469830105,1,0,1,""
4,762,710004762,910008762,strict,0.549342515624953,0.0361705469568965,1,0,1,""
4,763,710004763,810008763,naive,0.587561054386325,0.0367478864142177,1,1,1,""
4,763,710004763,910008763,strict,0.586429524639441,0.0304963808728959,1,1,1,""
4,764,710004764,810008764,naive,0.632668922448729,0.033226109563208,1,1,1,""
4,764,710004764,910008764,strict,0.631184381849809,0.0380039506081163,1,1,1,""
4,765,710004765,810008765,naive,0.591657540597975,0.0293760960986126,1,1,1,""
4,765,710004765,910008765,strict,0.583845707216264,0.0273547366349759,1,1,1,""
