auc_cell_id,phase,regime,gamma,theta,delta,entry_sd,replicate,outer_seed,bootstrap_seed,method,strict_target_summary_auc,rows,events,subjects,estimate,estimated_se,covered,reject_half,converged,error
1,focused,B,-4,0,0,0.25,50,1200002050,1800008050,delayed,0.606017101990918,1738,165,643,0.680062286716869,0.0297488378941766,0,1,1,""
1,focused,B,-4,0,0,0.25,51,1200002051,1800006051,naive,0.606017101990918,1777,140,657,0.675805570166709,0.0274633611230015,0,1,1,""
1,focused,B,-4,0,0,0.25,51,1200002051,1800007051,strict,0.606017101990918,1653,137,644,0.665962076018604,0.0330342338053259,1,1,1,""
1,focused,B,-4,0,0,0.25,51,1200002051,1800008051,delayed,0.606017101990918,1777,140,657,0.675522636570654,0.0325411489368093,0,1,1,""
1,focused,B,-4,0,0,0.25,52,1200002052,1800006052,naive,0.606017101990918,1761,140,660,0.648073618553241,0.0329294018991135,1,1,1,""
1,focused,B,-4,0,0,0.25,52,1200002052,1800007052,strict,0.606017101990918,1659,137,652,0.638897329135158,0.0326990375302367,1,1,1,""
1,focused,B,-4,0,0,0.25,52,1200002052,1800008052,delayed,0.606017101990918,1761,140,660,0.647293957242556,0.0327278293956525,1,1,1,""
1,focused,B,-4,0,0,0.25,53,1200002053,1800006053,naive,0.606017101990918,1739,128,651,0.60145954478918,0.0310805436298497,1,1,1,""
1,focused,B,-4,0,0,0.25,53,1200002053,1800007053,strict,0.606017101990918,1640,127,644,0.580853132663424,0.0336448807935849,1,1,1,""
1,focused,B,-4,0,0,0.25,53,1200002053,1800008053,delayed,0.606017101990918,1739,128,651,0.600422134975623,0.0300303622488052,1,1,1,""
1,focused,B,-4,0,0,0.25,54,1200002054,1800006054,naive,0.606017101990918,1788,128,655,0.583875792716606,0.0381244750140443,1,1,1,""
1,focused,B,-4,0,0,0.25,54,1200002054,1800007054,strict,0.606017101990918,1677,124,654,0.571377368429166,0.0315476414424864,1,1,1,""
1,focused,B,-4,0,0,0.25,54,1200002054,1800008054,delayed,0.606017101990918,1788,128,655,0.583306752769923,0.0347998758431748,1,1,1,""
1,focused,B,-4,0,0,0.25,55,1200002055,1800006055,naive,0.606017101990918,1778,160,663,0.594129943845314,0.035090773636222,1,1,1,""
1,focused,B,-4,0,0,0.25,55,1200002055,1800007055,strict,0.606017101990918,1665,152,655,0.59587737249049,0.0322354690994509,1,1,1,""
1,focused,B,-4,0,0,0.25,55,1200002055,1800008055,delayed,0.606017101990918,1778,160,663,0.594471144664205,0.0337957438710469,1,1,1,""
1,focused,B,-4,0,0,0.25,56,1200002056,1800006056,naive,0.606017101990918,1748,127,645,0.606960005060267,0.0375946945414782,1,1,1,""
1,focused,B,-4,0,0,0.25,56,1200002056,1800007056,strict,0.606017101990918,1637,123,640,0.596504968220076,0.0407459233110126,1,1,1,""
1,focused,B,-4,0,0,0.25,56,1200002056,1800008056,delayed,0.606017101990918,1748,127,645,0.606306045633919,0.0345174840539544,1,1,1,""
1,focused,B,-4,0,0,0.25,57,1200002057,1800006057,naive,0.606017101990918,1743,160,641,0.565631126387935,0.0332400722568514,1,1,1,""
1,focused,B,-4,0,0,0.25,57,1200002057,1800007057,strict,0.606017101990918,1639,157,634,0.548664692477387,0.0306411673313726,1,0,1,""
1,focused,B,-4,0,0,0.25,57,1200002057,1800008057,delayed,0.606017101990918,1743,160,641,0.56518529735382,0.0300777064048852,1,1,1,""
1,focused,B,-4,0,0,0.25,58,1200002058,1800006058,naive,0.606017101990918,1767,164,652,0.651733686484487,0.0332341469944133,1,1,1,""
1,focused,B,-4,0,0,0.25,58,1200002058,1800007058,strict,0.606017101990918,1661,159,646,0.64434279572873,0.0313031376016889,1,1,1,""
1,focused,B,-4,0,0,0.25,58,1200002058,1800008058,delayed,0.606017101990918,1767,164,652,0.651669341220775,0.0310097508386778,1,1,1,""
1,focused,B,-4,0,0,0.25,59,1200002059,1800006059,naive,0.606017101990918,1776,138,653,0.570430820433672,0.0360128991987096,1,0,1,""
1,focused,B,-4,0,0,0.25,59,1200002059,1800007059,strict,0.606017101990918,1669,134,646,0.560929792162802,0.0387057414276133,1,0,1,""
1,focused,B,-4,0,0,0.25,59,1200002059,1800008059,delayed,0.606017101990918,1776,138,653,0.569813029836967,0.0392014670334532,1,0,1,""
1,focused,B,-4,0,0,0.25,60,1200002060,1800006060,naive,0.606017101990918,1731,107,638,0.626189393634965,0.0422565130534767,1,1,1,""
1,focused,B,-4,0,0,0.25,60,1200002060,1800007060,strict,0.606017101990918,1630,104,634,0.621646322219945,0.0339913806288403,1,1,1,""
1,focused,B,-4,0,0,0.25,60,1200002060,1800008060,delayed,0.606017101990918,1731,107,638,0.626124159161398,0.0403299312748573,1,1,1,""
